source_id,tema,orgao,tipo,prioridade,url,uso_no_modelo,limite_cuidado
rf_entenda_reforma,reforma_tributaria,Receita Federal,página explicativa oficial,alta,https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/acoes-e-programas/programas-e-atividades/reforma-tributaria-do-consumo/entenda,"Cronograma de transição CBS/IBS/IS, extinção PIS/Cofins e ICMS/ISS, pesos 2029-2033.",É resumo operacional; para texto legal usar LC/EC.
mf_regulamentacao,reforma_tributaria,Ministério da Fazenda,hub oficial de regulamentação,alta,https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria,Acompanhar regulamentação e LC 214/2025; fonte de atualização contínua.,Pode mudar conforme novas LCs/decretos.
lc214_2025,reforma_tributaria,Planalto,lei complementar,alta,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm,"Base legal que institui IBS, CBS e IS; usar para premissas formais.",Texto legal extenso; não transformar em fórmula sem interpretação.
ec132_2023,reforma_tributaria,Planalto,emenda constitucional,alta,https://www.planalto.gov.br/ccivil_03/constituicao/emendas/emc/emc132.htm,Base constitucional da reforma; usar como referência do novo sistema.,Necessita regulamentação infraconstitucional para cálculo.
senado_res22_1989,icms_atual,Senado Federal,resolução,alta,https://legis.senado.leg.br/norma/586152/publicacao/15646891,Matriz de ICMS interestadual base 12%/7%.,Não cobre alíquotas internas nem benefícios estaduais.
senado_res13_2012,icms_atual_importados,Senado Federal,resolução,média,https://legis.senado.leg.br/norma/586999,Regra de 4% para bens/mercadorias importados em operações interestaduais.,Aplicar só se houver informação de produto importado/conteúdo de importação.
lc87_1996,icms_atual,Planalto,lei complementar,média,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp87.htm,Lei Kandir; base geral do ICMS.,Não substitui tabelas internas/estaduais.
lc190_2022,difal,Planalto,lei complementar,média,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp190.htm,DIFAL em operações a consumidor final não contribuinte.,Só aplicar se operação e cliente se enquadrarem.
ibge_malha_municipal,geografia,IBGE,base geográfica oficial,média,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/15774-malhas.html,Padronização de UF/município/centroide e validação de mapa/joins.,Não substituir coordenadas internas se já estiverem alinhadas ao modelo.
bcb_selic_sgs11,financeiro,Banco Central,série temporal oficial,baixa,https://dadosabertos.bcb.gov.br/dataset/11-taxa-de-juros---selic,Sensibilidade de WACC/custo de capital se necessário.,Não substituir WACC interno automaticamente.
anp_combustiveis,frete_diesel,ANP,série histórica oficial,baixa,https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/serie-historica-de-precos-de-combustiveis,Sensibilidade/validação de frete por diesel.,Não substituir frete contratado da empresa.
antt_piso_frete,frete,ANTT,calculadora/regulatório,baixa,https://calculadorafrete.antt.gov.br/,Benchmark/piso mínimo de frete se necessário.,Não usar como frete real da operação.
